## Tue Apr 25 22:25:46 2023
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_xv4513_g --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_xv4513_g --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_xv4513_g/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
WP_169605176.1	1188233.MAU_3470	8.24e-18	74.3	COG0257@1|root,COG0257@2|Bacteria,3WU3Q@544448|Tenericutes	544448|Tenericutes	J	Belongs to the bacterial ribosomal protein bL36 family	rpmJ	-	-	ko:K02919	ko03010,map03010	M00178	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L36
WP_171112548.1	1034808.GIG_01750	7e-54	169.0	COG0185@1|root,COG0185@2|Bacteria,3WTPD@544448|Tenericutes	544448|Tenericutes	J	Protein S19 forms a complex with S13 that binds strongly to the 16S ribosomal RNA	rpsS	-	-	ko:K02965	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_S19
WP_171113203.1	1188236.MARG_2640	5.11e-21	83.2	COG0230@1|root,COG0230@2|Bacteria,3WU02@544448|Tenericutes	544448|Tenericutes	J	Belongs to the bacterial ribosomal protein bL34 family	rpmH	-	-	ko:K02914	ko03010,map03010	M00178	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L34
WP_171113371.1	1188233.MAU_6340	5.93e-27	99.4	COG0227@1|root,COG0227@2|Bacteria,3WTVQ@544448|Tenericutes	544448|Tenericutes	J	Belongs to the bacterial ribosomal protein bL28 family	rpmB	-	-	ko:K02902	ko03010,map03010	M00178	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L28
WP_216488221.1	272633.26453648	2.32e-71	222.0	COG1182@1|root,COG1182@2|Bacteria,3WSZ4@544448|Tenericutes	544448|Tenericutes	C	Catalyzes the reductive cleavage of azo bond in aromatic azo compounds to the corresponding amines. Requires NADH, but not NADPH, as an electron donor for its activity	acpD	-	-	ko:K01118	-	-	-	-	ko00000,ko01000	-	-	-	Flavodoxin_2
WP_216488226.1	347256.MHO_4420	2.96e-52	169.0	COG0319@1|root,COG0319@2|Bacteria,3WTYW@544448|Tenericutes	544448|Tenericutes	J	Single strand-specific metallo-endoribonuclease involved in late-stage 70S ribosome quality control and in maturation of the 3' terminus of the 16S rRNA	ybeY	-	-	ko:K07042	-	-	-	-	ko00000,ko03009	-	-	-	UPF0054
WP_216488254.1	1188234.MALK_4930	3.49e-30	109.0	COG0238@1|root,COG0238@2|Bacteria,3WTWD@544448|Tenericutes	544448|Tenericutes	J	Binds as a heterodimer with protein S6 to the central domain of the 16S rRNA, where it helps stabilize the platform of the 30S subunit	rpsR	-	-	ko:K02963	ko03010,map03010	M00178	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_S18
WP_216488361.1	1188236.MARG_2540	5.7e-153	434.0	COG1834@1|root,COG1834@2|Bacteria,3WTB2@544448|Tenericutes	544448|Tenericutes	E	Amidinotransferase	-	-	3.5.3.18	ko:K01482	-	-	-	-	ko00000,ko01000,ko04147	-	-	-	Amidinotransf
WP_216488515.1	347256.MHO_3680	7.37e-85	254.0	COG0503@1|root,COG0503@2|Bacteria,3WTCR@544448|Tenericutes	544448|Tenericutes	F	Catalyzes a salvage reaction resulting in the formation of AMP, that is energically less costly than de novo synthesis	apt	-	2.4.2.7	ko:K00759	ko00230,ko01100,map00230,map01100	-	R00190,R01229,R04378	RC00063	ko00000,ko00001,ko01000,ko04147	-	-	-	Pribosyltran
WP_216488527.1	2110.MAGa5380	4.3e-26	98.2	COG0508@1|root,COG0508@2|Bacteria,3WU1W@544448|Tenericutes	544448|Tenericutes	C	Biotin-lipoyl like	-	-	2.3.1.12	ko:K00627	ko00010,ko00020,ko00620,ko01100,ko01110,ko01120,ko01130,ko01200,map00010,map00020,map00620,map01100,map01110,map01120,map01130,map01200	M00307	R00209,R02569	RC00004,RC02742,RC02857	br01601,ko00000,ko00001,ko00002,ko01000	-	-	-	Biotin_lipoyl
