## Tue Apr 25 21:40:28 2023
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_3imsnr9_ --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_3imsnr9_ --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_3imsnr9_/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
WP_004429078.1	1179777.D500_0047	4.94e-19	77.4	COG0257@1|root,COG0257@2|Bacteria	2|Bacteria	J	Belongs to the bacterial ribosomal protein bL36 family	rpmJ	GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015934,GO:0019538,GO:0022625,GO:0022626,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1990904	-	ko:K02919	ko03010,map03010	M00178	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L36
WP_008362393.1	1179777.D500_0016	1.45e-93	273.0	COG0048@1|root,COG0048@2|Bacteria,3WTGE@544448|Tenericutes	544448|Tenericutes	J	Interacts with and stabilizes bases of the 16S rRNA that are involved in tRNA selection in the A site and with the mRNA backbone. Located at the interface of the 30S and 50S subunits, it traverses the body of the 30S subunit contacting proteins on the other side and probably holding the rRNA structure together. The combined cluster of proteins S8, S12 and S17 appears to hold together the shoulder and platform of the 30S subunit	rpsL	-	-	ko:K02950	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosom_S12_S23
WP_008362394.1	1179777.D500_0017	1.24e-104	302.0	COG0049@1|root,COG0049@2|Bacteria,3WTG3@544448|Tenericutes	544448|Tenericutes	J	One of the primary rRNA binding proteins, it binds directly to 16S rRNA where it nucleates assembly of the head domain of the 30S subunit. Is located at the subunit interface close to the decoding center, probably blocks exit of the E-site tRNA	rpsG	-	-	ko:K02992	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_S7
WP_008362476.1	1179777.D500_0045	6.86e-85	250.0	COG0100@1|root,COG0100@2|Bacteria,3WTM3@544448|Tenericutes	544448|Tenericutes	J	Located on the platform of the 30S subunit, it bridges several disparate RNA helices of the 16S rRNA. Forms part of the Shine-Dalgarno cleft in the 70S ribosome	rpsK	-	-	ko:K02948	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_S11
WP_008362508.1	1179777.D500_0056	1.97e-84	249.0	COG0096@1|root,COG0096@2|Bacteria,3WTD8@544448|Tenericutes	544448|Tenericutes	J	One of the primary rRNA binding proteins, it binds directly to 16S rRNA central domain where it helps coordinate assembly of the platform of the 30S subunit	rpsH	-	-	ko:K02994	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_S8
WP_008362512.1	1179777.D500_0057	4.24e-41	134.0	COG0199@1|root,COG0199@2|Bacteria,3WTWI@544448|Tenericutes	544448|Tenericutes	J	Binds 16S rRNA, required for the assembly of 30S particles and may also be responsible for determining the conformation of the 16S rRNA at the A site	rpsN	-	-	ko:K02954	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_S14
WP_008362527.1	1179777.D500_0065	3.25e-70	212.0	COG0091@1|root,COG0091@2|Bacteria,3WTMG@544448|Tenericutes	544448|Tenericutes	J	The globular domain of the protein is located near the polypeptide exit tunnel on the outside of the subunit, while an extended beta-hairpin is found that lines the wall of the exit tunnel in the center of the 70S ribosome	rplV	-	-	ko:K02890	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L22
WP_008362785.1	1179777.D500_0173	3.44e-26	96.7	2DYQV@1|root,34ARA@2|Bacteria,3WTV4@544448|Tenericutes	544448|Tenericutes	J	Ribosomal protein S21	rpsU	-	-	ko:K02970	ko03010,map03010	M00178	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_S21
WP_008362864.1	1179777.D500_0216	8.16e-36	121.0	COG0333@1|root,COG0333@2|Bacteria,3WTYB@544448|Tenericutes	544448|Tenericutes	J	Belongs to the bacterial ribosomal protein bL32 family	rpmF	-	-	ko:K02911	ko03010,map03010	M00178	-	-	br01610,ko00000,ko00001,ko00002,ko03011,ko03029	-	-	-	Ribosomal_L32p
WP_008363963.1	1179777.D500_0677	3.02e-36	122.0	COG0227@1|root,COG0227@2|Bacteria,3WTVQ@544448|Tenericutes	544448|Tenericutes	J	Belongs to the bacterial ribosomal protein bL28 family	rpmB	-	-	ko:K02902	ko03010,map03010	M00178	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L28
WP_011166362.1	272632.MSC_0160	2.26e-288	787.0	COG0050@1|root,COG0050@2|Bacteria,3WSWU@544448|Tenericutes	544448|Tenericutes	J	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis	tuf	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464	-	ko:K02358	-	-	-	-	ko00000,ko03012,ko03029,ko04147	-	-	-	GTP_EFTU,GTP_EFTU_D2,GTP_EFTU_D3
WP_011166422.1	272632.MSC_0222	6.01e-33	114.0	COG0291@1|root,COG0291@2|Bacteria	2|Bacteria	J	Belongs to the bacterial ribosomal protein bL35 family	rpmI	GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0015934,GO:0022625,GO:0022626,GO:0032991,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:1990904	-	ko:K02916	ko03010,map03010	M00178	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L35p
WP_011166598.1	272632.MSC_0410	2.47e-53	167.0	COG0776@1|root,COG0776@2|Bacteria,3WTPG@544448|Tenericutes	544448|Tenericutes	L	Histone-like DNA-binding protein which is capable of wrapping DNA to stabilize it, and thus to prevent its denaturation under extreme environmental conditions	-	-	-	ko:K03530	-	-	-	-	ko00000,ko03032,ko03036,ko03400	-	-	-	Bac_DNA_binding
WP_011166882.1	272632.MSC_0712	1.8e-86	254.0	COG0103@1|root,COG0103@2|Bacteria,3WTKX@544448|Tenericutes	544448|Tenericutes	J	Belongs to the universal ribosomal protein uS9 family	rpsI	-	-	ko:K02996	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_S9
WP_011166889.1	272632.MSC_0720	1.68e-78	233.0	COG0203@1|root,COG0203@2|Bacteria,3WTH7@544448|Tenericutes	544448|Tenericutes	J	Ribosomal protein L17	rplQ	-	-	ko:K02879	ko03010,map03010	M00178	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L17
WP_011166903.1	272632.MSC_0735	1e-76	229.0	COG0093@1|root,COG0093@2|Bacteria,3WTN8@544448|Tenericutes	544448|Tenericutes	J	Binds to 23S rRNA. Forms part of two intersubunit bridges in the 70S ribosome	rplN	-	-	ko:K02874	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L14
WP_011166907.1	272632.MSC_0739	9.35e-161	451.0	COG0092@1|root,COG0092@2|Bacteria,3WT4R@544448|Tenericutes	544448|Tenericutes	J	Binds the lower part of the 30S subunit head. Binds mRNA in the 70S ribosome, positioning it for translation	rpsC	-	-	ko:K02982	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	KH_2,Ribosomal_S3_C
WP_011166911.1	272632.MSC_0743	3.04e-58	180.0	COG0089@1|root,COG0089@2|Bacteria,3WTSC@544448|Tenericutes	544448|Tenericutes	J	One of the early assembly proteins it binds 23S rRNA. One of the proteins that surrounds the polypeptide exit tunnel on the outside of the ribosome. Forms the main docking site for trigger factor binding to the ribosome	rplW	-	-	ko:K02892	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L23
