## Tue Apr 25 21:59:28 2023
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_ip4wamhv --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_ip4wamhv --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_ip4wamhv/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
WP_258210602.1	1246955.MCYN_0876	1.13e-107	322.0	COG1136@1|root,COG1136@2|Bacteria,3WSX2@544448|Tenericutes	544448|Tenericutes	V	abc transporter atp-binding protein	-	-	-	ko:K02003	-	M00258	-	-	ko00000,ko00002,ko02000	3.A.1	-	-	ABC_tran
WP_258210604.1	272635.MYPU_2930	4.54e-137	413.0	COG0534@1|root,COG0534@2|Bacteria,3WT25@544448|Tenericutes	544448|Tenericutes	V	MatE	-	-	-	-	-	-	-	-	-	-	-	-	MatE
WP_258210605.1	272635.MYPU_1750	3.91e-19	80.1	2BPUA@1|root,32IMS@2|Bacteria,3WTW6@544448|Tenericutes	544448|Tenericutes	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_258210606.1	272635.15828749	2.98e-71	218.0	COG2131@1|root,COG2131@2|Bacteria,3WTJG@544448|Tenericutes	544448|Tenericutes	F	Deoxycytidylate deaminase	comEB	-	3.5.4.12	ko:K01493	ko00240,ko01100,map00240,map01100	M00429	R01663	RC00074	ko00000,ko00001,ko00002,ko01000,ko02044	-	-	-	dCMP_cyt_deam_1
WP_258210607.1	1246955.MCYN_0163	2.62e-83	255.0	COG1187@1|root,COG1187@2|Bacteria,3WT43@544448|Tenericutes	544448|Tenericutes	J	Belongs to the pseudouridine synthase RsuA family	rluB	-	5.4.99.19,5.4.99.21,5.4.99.22	ko:K06178,ko:K06182,ko:K06183	-	-	-	-	ko00000,ko01000,ko03009	-	-	-	PseudoU_synth_2,S4
WP_258210608.1	1246955.MCYN_0263	1.02e-81	256.0	COG1482@1|root,COG1482@2|Bacteria,3WT9H@544448|Tenericutes	544448|Tenericutes	G	isomerase	manA	-	5.3.1.8	ko:K01809	ko00051,ko00520,ko01100,ko01110,ko01130,map00051,map00520,map01100,map01110,map01130	M00114	R01819	RC00376	ko00000,ko00001,ko00002,ko01000	-	-	-	PMI_typeI
WP_258210610.1	1188239.MOVI_0570	2.66e-240	687.0	COG1299@1|root,COG1445@1|root,COG1762@1|root,COG1299@2|Bacteria,COG1445@2|Bacteria,COG1762@2|Bacteria,3WSZ5@544448|Tenericutes	544448|Tenericutes	GT	phosphotransferase system	fruA	-	2.7.1.202	ko:K02768,ko:K02769,ko:K02770	ko00051,ko01100,ko01120,ko02060,map00051,map01100,map01120,map02060	M00273	R03232	RC00017,RC03206	ko00000,ko00001,ko00002,ko01000,ko02000	4.A.2.1	-	-	PTS_EIIA_2,PTS_EIIC,PTS_IIB
WP_258210613.1	1048830.GUU_02531	1.5e-122	379.0	COG0714@1|root,COG0714@2|Bacteria,3WTF0@544448|Tenericutes	544448|Tenericutes	S	AAA domain (dynein-related subfamily)	-	-	-	ko:K03924	-	-	-	-	ko00000,ko01000	-	-	-	AAA_5
WP_258210614.1	1048830.GUU_02536	3.49e-62	204.0	2B661@1|root,31Z35@2|Bacteria,3WUBS@544448|Tenericutes	544448|Tenericutes	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_258210615.1	267748.MMOB0820	4.51e-236	673.0	COG0550@1|root,COG0550@2|Bacteria,3WSZC@544448|Tenericutes	544448|Tenericutes	L	Releases the supercoiling and torsional tension of DNA, which is introduced during the DNA replication and transcription, by transiently cleaving and rejoining one strand of the DNA duplex. Introduces a single-strand break via transesterification at a target site in duplex DNA. The scissile phosphodiester is attacked by the catalytic tyrosine of the enzyme, resulting in the formation of a DNA-(5'-phosphotyrosyl)-enzyme intermediate and the expulsion of a 3'-OH DNA strand. The free DNA strand then undergoes passage around the unbroken strand, thus removing DNA supercoils. Finally, in the religation step, the DNA 3'-OH attacks the covalent intermediate to expel the active-site tyrosine and restore the DNA phosphodiester backbone	topA	-	5.99.1.2	ko:K03168	-	-	-	-	ko00000,ko01000,ko03032,ko03400	-	-	-	Topoisom_bac,Toprim,zf-C4_Topoisom
