## Tue Apr 25 22:14:35 2023
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_y3rlhlw3 --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_y3rlhlw3 --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_y3rlhlw3/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
WP_205842282.1	267748.MMOB4100	0.0	923.0	COG1196@1|root,COG1196@2|Bacteria,3WSUR@544448|Tenericutes	544448|Tenericutes	D	Required for chromosome condensation and partitioning	smc	-	-	ko:K03529	-	-	-	-	ko00000,ko03036	-	-	-	SMC_N,SMC_hinge
WP_205842284.1	267748.MMOB4120	3.53e-133	389.0	COG0416@1|root,COG0416@2|Bacteria,3WT94@544448|Tenericutes	544448|Tenericutes	I	Catalyzes the reversible formation of acyl-phosphate (acyl-PO(4)) from acyl- acyl-carrier-protein (acyl-ACP). This enzyme utilizes acyl-ACP as fatty acyl donor, but not acyl-CoA	plsX	-	2.3.1.15	ko:K03621	ko00561,ko00564,ko01100,ko01110,map00561,map00564,map01100,map01110	M00089	R00851,R09380	RC00004,RC00039,RC00041	ko00000,ko00001,ko00002,ko01000,ko01004	-	-	-	FA_synthesis
WP_205842285.1	267748.MMOB4130	1.79e-208	597.0	COG1461@1|root,COG1461@2|Bacteria,3WT00@544448|Tenericutes	544448|Tenericutes	S	kinase related to dihydroxyacetone kinase	yloV	-	-	ko:K07030	-	-	-	-	ko00000	-	-	-	Dak1_2,Dak2
WP_205842287.1	1118964.MOS_620	7.69e-226	655.0	COG0072@1|root,COG0073@1|root,COG0072@2|Bacteria,COG0073@2|Bacteria,3WSUD@544448|Tenericutes	544448|Tenericutes	J	Belongs to the phenylalanyl-tRNA synthetase beta subunit family. Type 1 subfamily	pheT	-	6.1.1.20	ko:K01890	ko00970,map00970	M00359,M00360	R03660	RC00055,RC00523	ko00000,ko00001,ko00002,ko01000,ko01007,ko03016	-	-	-	B3_4,B5,FDX-ACB,tRNA_bind
WP_205842288.1	1129369.MYM_0581	2.2e-145	419.0	COG0016@1|root,COG0016@2|Bacteria,3WT38@544448|Tenericutes	544448|Tenericutes	J	Belongs to the class-II aminoacyl-tRNA synthetase family. Phe-tRNA synthetase alpha subunit type 1 subfamily	pheS	-	6.1.1.20	ko:K01889	ko00970,map00970	M00359,M00360	R03660	RC00055,RC00523	ko00000,ko00001,ko00002,ko01000,ko01007,ko03016	-	-	-	Phe_tRNA-synt_N,tRNA-synt_2d
WP_205842289.1	1118964.MOS_287	1.09e-54	175.0	COG0691@1|root,COG0691@2|Bacteria,3WTFX@544448|Tenericutes	544448|Tenericutes	J	Required for rescue of stalled ribosomes mediated by trans-translation. Binds to transfer-messenger RNA (tmRNA), required for stable association of tmRNA with ribosomes. tmRNA and SmpB together mimic tRNA shape, replacing the anticodon stem-loop with SmpB. tmRNA is encoded by the ssrA gene	smpB	-	-	ko:K03664	-	-	-	-	ko00000	-	-	-	SmpB
WP_205842291.1	747682.MALL_0404	2.17e-198	563.0	COG0541@1|root,COG0541@2|Bacteria,3WT21@544448|Tenericutes	544448|Tenericutes	U	Involved in targeting and insertion of nascent membrane proteins into the cytoplasmic membrane. Binds to the hydrophobic signal sequence of the ribosome-nascent chain (RNC) as it emerges from the ribosomes. The SRP-RNC complex is then targeted to the cytoplasmic membrane where it interacts with the SRP receptor FtsY	ffh	-	3.6.5.4	ko:K03106	ko02024,ko03060,ko03070,map02024,map03060,map03070	M00335	-	-	ko00000,ko00001,ko00002,ko01000,ko02044	3.A.5.1,3.A.5.2,3.A.5.7,3.A.5.8,3.A.5.9	-	-	SRP54,SRP54_N,SRP_SPB
WP_205842295.1	1117644.MCANPG14_01951	2.09e-54	173.0	COG0295@1|root,COG0295@2|Bacteria,3WTVE@544448|Tenericutes	544448|Tenericutes	F	This enzyme scavenges exogenous and endogenous cytidine and 2'-deoxycytidine for UMP synthesis	cdd	-	3.5.4.5	ko:K01489	ko00240,ko00983,ko01100,map00240,map00983,map01100	-	R01878,R02485,R08221	RC00074,RC00514	ko00000,ko00001,ko01000	-	-	-	dCMP_cyt_deam_1
WP_205842298.1	272635.MYPU_3780	7.18e-46	153.0	COG0319@1|root,COG0319@2|Bacteria,3WTYW@544448|Tenericutes	544448|Tenericutes	J	Single strand-specific metallo-endoribonuclease involved in late-stage 70S ribosome quality control and in maturation of the 3' terminus of the 16S rRNA	ybeY	-	-	ko:K07042	-	-	-	-	ko00000,ko03009	-	-	-	UPF0054
WP_205842301.1	1246955.MCYN_0811	1.64e-75	228.0	COG0229@1|root,COG0229@2|Bacteria,3WTGR@544448|Tenericutes	544448|Tenericutes	O	methionine sulfoxide reductase	msrB	-	1.8.4.12	ko:K07305	-	-	-	-	ko00000,ko01000	-	-	-	SelR
WP_205842304.1	1118964.MOS_304	1.28e-245	691.0	COG0504@1|root,COG0504@2|Bacteria,3WSXC@544448|Tenericutes	544448|Tenericutes	F	Catalyzes the ATP-dependent amination of UTP to CTP with either L-glutamine or ammonia as the source of nitrogen	pyrG	-	6.3.4.2	ko:K01937	ko00240,ko01100,map00240,map01100	M00052	R00571,R00573	RC00010,RC00074	ko00000,ko00001,ko00002,ko01000	-	-	-	CTP_synth_N,GATase
WP_205842327.1	1117644.MCANPG14_00155	2.67e-160	464.0	COG0162@1|root,COG0162@2|Bacteria,3WSW6@544448|Tenericutes	544448|Tenericutes	J	Catalyzes the attachment of tyrosine to tRNA(Tyr) in a two-step reaction tyrosine is first activated by ATP to form Tyr- AMP and then transferred to the acceptor end of tRNA(Tyr)	tyrS	-	6.1.1.1	ko:K01866	ko00970,map00970	M00359,M00360	R02918	RC00055,RC00523	ko00000,ko00001,ko00002,ko01000,ko01007,ko03016,ko03029	-	-	-	S4,tRNA-synt_1b
WP_205842329.1	272635.MYPU_0130	4.83e-207	585.0	COG0486@1|root,COG0486@2|Bacteria,3WSVW@544448|Tenericutes	544448|Tenericutes	J	Exhibits a very high intrinsic GTPase hydrolysis rate. Involved in the addition of a carboxymethylaminomethyl (cmnm) group at the wobble position (U34) of certain tRNAs, forming tRNA- cmnm(5)s(2)U34	trmE	-	-	ko:K03650	-	-	R08701	RC00053,RC00209,RC00870	ko00000,ko01000,ko03016	-	-	-	MMR_HSR1,MnmE_helical,TrmE_N
WP_205842335.1	1118964.MOS_676	5.32e-309	851.0	COG0488@1|root,COG0488@2|Bacteria,3WT1U@544448|Tenericutes	544448|Tenericutes	S	abc transporter atp-binding protein	yheS_2	-	-	-	-	-	-	-	-	-	-	-	ABC_tran,ABC_tran_Xtn
WP_205842339.1	1395587.P364_0110335	4.94e-09	63.2	2AYHW@1|root,31QMC@2|Bacteria,1V6S7@1239|Firmicutes,4HKYW@91061|Bacilli,26W2E@186822|Paenibacillaceae	91061|Bacilli	S	TraX protein	traX	-	-	-	-	-	-	-	-	-	-	-	TraX
WP_205842341.1	938288.HG326224_gene1591	4.4e-65	213.0	COG0272@1|root,COG2176@1|root,COG0272@2|Bacteria,COG2176@2|Bacteria,1TRS5@1239|Firmicutes,24ER5@186801|Clostridia	186801|Clostridia	L	EXOIII	-	-	2.7.7.7	ko:K02342	ko00230,ko00240,ko01100,ko03030,ko03430,ko03440,map00230,map00240,map01100,map03030,map03430,map03440	M00260	R00375,R00376,R00377,R00378	RC02795	ko00000,ko00001,ko00002,ko01000,ko03032,ko03400	-	-	-	BRCT,RNase_T,zf-C4_Topoisom
WP_205842344.1	1246955.MCYN_0827	3.69e-86	275.0	2B5RM@1|root,31YM6@2|Bacteria,3WTPM@544448|Tenericutes	544448|Tenericutes	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_205842346.1	1246955.MCYN_0788	2.22e-82	252.0	COG1187@1|root,COG1187@2|Bacteria,3WTGK@544448|Tenericutes	544448|Tenericutes	J	Belongs to the pseudouridine synthase RsuA family	rsuA	-	5.4.99.19	ko:K06183	-	-	-	-	ko00000,ko01000,ko03009	-	-	-	PseudoU_synth_2,S4
WP_205842349.1	1117644.MCANPG14_00488	7.22e-119	352.0	COG0596@1|root,COG0596@2|Bacteria,3WSZ3@544448|Tenericutes	544448|Tenericutes	E	Belongs to the peptidase S33 family	pip	-	3.4.11.5	ko:K01259	ko00330,map00330	-	R00135	-	ko00000,ko00001,ko01000,ko01002	-	-	-	Abhydrolase_1
WP_205842353.1	1188239.MOVI_7080	3.53e-262	721.0	COG0050@1|root,COG0050@2|Bacteria,3WSWU@544448|Tenericutes	544448|Tenericutes	J	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis	tuf	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464	-	ko:K02358	-	-	-	-	ko00000,ko03012,ko03029,ko04147	-	-	-	GTP_EFTU,GTP_EFTU_D2,GTP_EFTU_D3
WP_205842355.1	743966.MYB_02815	1.86e-277	781.0	COG0556@1|root,COG0556@2|Bacteria,3WT0X@544448|Tenericutes	544448|Tenericutes	L	damaged site, the DNA wraps around one UvrB monomer. DNA wrap is dependent on ATP binding by UvrB and probably causes local melting of the DNA helix, facilitating insertion of UvrB beta-hairpin between the DNA strands. Then UvrB probes one DNA strand for the presence of a lesion. If a lesion is found the UvrA subunits dissociate and the UvrB-DNA preincision complex is formed. This complex is subsequently bound by UvrC and the second UvrB is released. If no lesion is found, the DNA wraps around the other UvrB subunit that will check the other stand for damage	uvrB	-	-	ko:K03702	ko03420,map03420	-	-	-	ko00000,ko00001,ko03400	-	-	-	Helicase_C,ResIII,UVR,UvrB
WP_205842357.1	2113.MCFN_00280	6.31e-46	161.0	2B5PX@1|root,31YJE@2|Bacteria,3WTKZ@544448|Tenericutes	544448|Tenericutes	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_205842359.1	1129369.MYM_0452	8.18e-64	204.0	COG0344@1|root,COG0344@2|Bacteria,3WTGS@544448|Tenericutes	544448|Tenericutes	I	Catalyzes the transfer of an acyl group from acyl- phosphate (acyl-PO(4)) to glycerol-3-phosphate (G3P) to form lysophosphatidic acid (LPA). This enzyme utilizes acyl-phosphate as fatty acyl donor, but not acyl-CoA or acyl-ACP	plsY	-	2.3.1.15	ko:K08591	ko00561,ko00564,ko01100,ko01110,map00561,map00564,map01100,map01110	M00089	R00851,R09380	RC00004,RC00039,RC00041	ko00000,ko00001,ko00002,ko01000,ko01004	-	-	-	G3P_acyltransf
WP_205842362.1	1118964.MOS_751	9.47e-83	253.0	COG0569@1|root,COG0569@2|Bacteria,3WSW5@544448|Tenericutes	544448|Tenericutes	C	potassium uptake protein	ktrA	-	-	ko:K03499	-	-	-	-	ko00000,ko02000	2.A.38.1,2.A.38.4	-	-	TrkA_C,TrkA_N
WP_205842368.1	747682.MALL_0192	1.52e-28	105.0	COG1925@1|root,COG1925@2|Bacteria,3WTXH@544448|Tenericutes	544448|Tenericutes	G	phosphocarrier protein hpr	ptsH	-	-	ko:K11189	-	-	-	-	ko00000,ko02000	4.A.2.1	-	-	PTS-HPr
WP_205842369.1	1117644.MCANPG14_00120	8.73e-182	554.0	2F2GV@1|root,33VE3@2|Bacteria,3WTW9@544448|Tenericutes	544448|Tenericutes	-	-	-	-	-	-	-	-	-	-	-	-	-	-	DUF1410
WP_205842371.1	743966.MYB_02950	3.99e-50	165.0	COG0782@1|root,COG0782@2|Bacteria,3WTDQ@544448|Tenericutes	544448|Tenericutes	K	Necessary for efficient RNA polymerase transcription elongation past template-encoded arresting sites. The arresting sites in DNA have the property of trapping a certain fraction of elongating RNA polymerases that pass through, resulting in locked ternary complexes. Cleavage of the nascent transcript by cleavage factors such as GreA or GreB allows the resumption of elongation from the new 3'terminus. GreA releases sequences of 2 to 3 nucleotides	greA	-	-	ko:K03624	-	-	-	-	ko00000,ko03021	-	-	-	GreA_GreB,GreA_GreB_N
WP_205842376.1	747682.MALL_0275	2.31e-44	149.0	COG0816@1|root,COG0816@2|Bacteria,3WTQ3@544448|Tenericutes	544448|Tenericutes	J	Could be a nuclease involved in processing of the 5'-end of pre-16S rRNA	yrrK	-	-	ko:K07447	-	-	-	-	ko00000,ko01000	-	-	-	RuvX
WP_205842378.1	1118964.MOS_038	8e-191	538.0	COG0482@1|root,COG0482@2|Bacteria,3WSW0@544448|Tenericutes	544448|Tenericutes	J	Catalyzes the 2-thiolation of uridine at the wobble position (U34) of tRNA, leading to the formation of s(2)U34	trmU	-	2.8.1.13	ko:K00566	ko04122,map04122	-	R08700	RC02313,RC02315	ko00000,ko00001,ko01000,ko03016	-	-	-	tRNA_Me_trans
WP_205842381.1	347256.MHO_0410	4.26e-76	234.0	COG1386@1|root,COG1386@2|Bacteria,3WT47@544448|Tenericutes	544448|Tenericutes	D	Participates in chromosomal partition during cell division. May act via the formation of a condensin-like complex containing Smc and ScpA that pull DNA away from mid-cell into both cell halves	scpB	-	-	ko:K06024	-	-	-	-	ko00000,ko03036	-	-	-	SMC_ScpB
WP_205842383.1	747682.MALL_0776	2.4e-87	268.0	COG1354@1|root,COG1354@2|Bacteria,3WT8M@544448|Tenericutes	544448|Tenericutes	D	Participates in chromosomal partition during cell division. May act via the formation of a condensin-like complex containing Smc and ScpB that pull DNA away from mid-cell into both cell halves	scpA	-	-	ko:K05896	-	-	-	-	ko00000,ko03036	-	-	-	SMC_ScpA
